Date,Open,High,Low,Close,Volume
2021-02-22,30281.78,30458.13,30089.18,30156.03,62800000
2021-02-24,30020.11,30089.59,29671.70,29671.70,79300000
2021-02-25,30077.27,30213.28,30044.43,30168.27,70100000
2021-02-26,29753.73,29760.31,28966.01,28966.01,92900000
2021-03-01,29419.45,29686.39,29396.04,29663.50,62700000
2021-03-02,29939.75,29996.39,29314.82,29408.17,70100000
2021-03-03,29482.12,29604.37,29336.60,29559.10,68800000
2021-03-04,29198.42,29277.19,28711.04,28930.11,75200000
2021-03-05,28725.48,28867.83,28308.57,28864.32,85800000
2021-03-08,29208.19,29255.90,28644.26,28743.25,92400000
2021-03-09,28748.87,29053.56,28609.21,29027.94,96700000
2021-03-10,29118.28,29233.47,28960.09,29036.56,83000000
2021-03-11,29033.92,29255.42,28995.33,29211.64,78500000
2021-03-12,29287.74,29744.32,29210.40,29717.83,96600000
2021-03-15,29804.50,29884.73,29670.31,29766.97,94100000
2021-03-16,29770.39,30026.40,29755.47,29921.09,83800000
2021-03-17,29836.83,29984.97,29825.16,29914.33,74600000
2021-03-18,30148.48,30485.00,30041.50,30216.75,95400000
2021-03-19,29904.57,30049.77,29621.22,29792.05,128500000
2021-03-22,29444.10,29472.98,29107.63,29174.15,78800000
2021-03-23,29381.49,29496.83,28995.92,28995.92,79200000
2021-03-24,28765.55,28867.67,28379.06,28405.52,96000000
2021-03-25,28457.33,28821.83,28414.92,28729.88,72800000
2021-03-26,29068.52,29240.74,28953.22,29176.70,73700000
2021-03-29,29478.12,29578.37,29200.88,29384.52,107900000
2021-03-30,29365.04,29478.20,29283.89,29432.70,79900000
2021-03-31,29278.33,29348.99,29165.52,29178.80,82000000
2021-04-01,29441.91,29585.46,29318.82,29388.87,75600000
2021-04-02,29704.66,29869.67,29694.09,29854.00,57200000
2021-04-05,30084.61,30195.00,30024.25,30089.25,55400000
2021-04-06,30208.89,30208.89,29665.86,29696.63,65500000
2021-04-07,29743.48,29867.94,29523.55,29730.79,61500000
2021-04-08,29675.88,29744.79,29516.42,29708.98,62600000
2021-04-09,29865.53,30064.35,29768.06,29768.06,64900000
2021-04-12,29874.43,29876.04,29538.73,29538.73,50200000
2021-04-13,29605.69,29897.11,29573.79,29751.61,54900000
2021-04-14,29718.06,29722.40,29567.18,29620.99,57200000
2021-04-15,29573.90,29787.66,29558.55,29642.69,50600000
2021-04-16,29789.08,29789.08,29621.83,29683.37,49100000
2021-04-19,29688.32,29808.01,29530.84,29685.37,44700000
2021-04-20,29355.87,29361.28,29014.36,29100.38,59900000
2021-04-21,28660.36,28778.93,28419.84,28508.55,71000000
2021-04-22,28880.78,29192.39,28800.86,29188.17,55100000
2021-04-23,28939.12,29035.34,28770.62,29020.63,47500000
2021-04-26,29095.49,29241.28,28896.37,29126.23,49200000
2021-04-27,29174.53,29187.11,28990.19,28991.89,59400000
2021-04-28,28935.51,29139.70,28875.91,29053.97,61400000
2021-04-30,28996.66,29046.49,28760.27,28812.63,78400000
2021-05-06,29024.01,29430.22,28966.47,29331.37,94300000
2021-05-07,29330.45,29449.86,29237.36,29357.82,67500000
2021-05-10,29376.89,29685.41,29346.14,29518.34,66300000
2021-05-11,29238.56,29289.12,28535.36,28608.59,73200000
2021-05-12,28712.10,28831.03,27888.59,28147.51,90000000
2021-05-13,27929.01,27961.96,27385.03,27448.01,80500000
2021-05-14,27723.70,28139.96,27723.70,28084.47,73500000
2021-05-17,28310.46,28312.78,27632.53,27824.83,63900000
2021-05-18,27931.57,28481.17,27931.57,28406.84,74700000
2021-05-19,28031.22,28216.65,27842.98,28044.45,68700000
2021-05-20,27875.50,28176.87,27821.96,28098.25,56800000
2021-05-21,28269.61,28411.56,28193.03,28317.83,58700000
2021-05-24,28212.32,28584.18,28212.32,28364.61,54700000
2021-05-25,28516.99,28576.97,28443.74,28553.98,54000000
2021-05-26,28396.62,28710.83,28396.62,28642.19,64200000
2021-05-27,28543.32,28587.21,28360.56,28549.01,138200000
2021-05-28,28912.54,29194.11,28899.66,29149.41,80600000
2021-05-31,29019.45,29147.71,28791.60,28860.08,53800000
2021-06-01,28998.65,29075.47,28611.25,28814.34,47400000
2021-06-02,28730.81,29003.55,28565.83,28946.14,71000000
2021-06-03,28890.39,29157.16,28879.15,29058.11,58500000
2021-06-04,28901.42,28991.24,28764.68,28941.52,55800000
2021-06-07,29214.00,29241.20,28973.05,29019.24,51000000
2021-06-08,29046.03,29140.68,28897.64,28963.56,50400000
2021-06-09,28901.56,28932.03,28801.83,28860.80,50400000
2021-06-10,28799.74,29007.53,28799.74,28958.56,53300000
2021-06-11,29030.04,29080.89,28839.54,28948.73,71100000
2021-06-14,29153.11,29208.35,29026.27,29161.80,45000000
2021-06-15,29256.03,29480.85,29235.71,29441.30,53000000
2021-06-16,29306.14,29434.10,29263.72,29291.01,52400000
2021-06-17,29149.34,29197.68,28875.39,29018.33,56900000
2021-06-18,29136.74,29136.74,28957.98,28964.08,90200000
2021-06-21,28506.84,28506.84,27795.86,28010.93,75800000
2021-06-22,28513.07,28895.26,28494.46,28884.13,67800000
2021-06-23,28886.92,29007.83,28860.06,28874.89,51100000
2021-06-24,28811.82,28935.34,28758.37,28875.23,44600000
2021-06-25,29137.30,29174.17,28992.74,29066.18,51600000
2021-06-28,29112.66,29121.28,28984.93,29048.02,47700000
2021-06-29,28927.44,28951.68,28735.55,28812.61,59700000
2021-06-30,28896.31,28998.99,28779.76,28791.53,54000000
2021-07-01,28832.41,28833.17,28624.80,28707.04,45900000
2021-07-02,28719.24,28849.32,28688.63,28783.28,47500000
2021-07-05,28709.57,28731.07,28581.08,28598.19,38500000
2021-07-06,28677.95,28748.23,28587.61,28643.21,41700000
2021-07-07,28262.40,28434.99,28161.75,28366.95,60300000
2021-07-08,28332.63,28366.76,28118.03,28118.03,62200000
